scope,category,enum_type,member_name,display_name,is_vip,effect_id,resource_id,default_duration_ms
动态视觉效果,视频转场,TransitionType,色彩溶解_II,色彩溶解 II,False,322625,6724866927933526542,1000.0
动态视觉效果,视频转场,TransitionType,色彩溶解_III,色彩溶解 III,False,322627,6724867032312975875,1000.0
动态视觉效果,视频转场,TransitionType,蓝色线条,蓝色线条,False,878903,6858191605384352263,500.0
动态视觉效果,视频转场,TransitionType,逆时针旋转,逆时针旋转,False,359437,6724226603372515853,500.0
动态视觉效果,视频转场,TransitionType,逆时针旋转_II,逆时针旋转 II,False,17224251,7252544659245765179,800.0
动态视觉效果,视频转场,TransitionType,镜像翻转,镜像翻转,False,2917288,6848792278710882824,1000.0
动态视觉效果,视频转场,TransitionType,闪白,闪白,False,322575,6724845376098013708,500.0
动态视觉效果,视频转场,TransitionType,闪白_II,闪白 II,False,31619869,7306818286413419017,300.0
动态视觉效果,视频转场,TransitionType,闪黑,闪黑,False,321493,6724239388189921806,500.0
动态视觉效果,视频转场,TransitionType,雪花故障,雪花故障,False,2918079,6724866446842663431,1000.0
动态视觉效果,视频转场,TransitionType,雾化,雾化,False,11387229,7216171159589491259,1200.0
动态视觉效果,视频转场,TransitionType,震动,震动,False,9261771,7198100561235808825,1000.0
动态视觉效果,视频转场,TransitionType,顺时针旋转,顺时针旋转,False,359421,6724226684721041932,500.0
动态视觉效果,视频转场,TransitionType,顺时针旋转_II,顺时针旋转 II,False,17224317,7252544556799889975,800.0
动态视觉效果,视频转场,TransitionType,频闪,频闪,False,1674710,7083767957662208549,500.0
动态视觉效果,视频转场,TransitionType,风车,风车,False,369485,6748286529921094157,500.0
动态视觉效果,视频转场,TransitionType,马赛克,马赛克,False,4212631,6724866519022440967,1000.0
动态视觉效果,视频转场,TransitionType,黑色块,黑色块,False,2918078,6724866346569437710,500.0
动态视觉效果,视频转场,TransitionType,黑色烟雾,黑色烟雾,False,947663,6885647017452769805,500.0
动态视觉效果,视频转场,TransitionType,_2024回忆流,2024回忆流,True,97032533,7448898555617481225,2000.0
动态视觉效果,视频转场,TransitionType,X形震闪,X形震闪,True,79087478,7403208545111380531,1000.0
动态视觉效果,视频转场,TransitionType,万花筒,万花筒,True,18722268,7257806429086552632,800.0
动态视觉效果,视频转场,TransitionType,三屏放大,三屏放大,True,38586528,7320254175466492467,1000.0
动态视觉效果,视频转场,TransitionType,三屏滑入,三屏滑入,True,34443818,7312438185261273650,1000.0
动态视觉效果,视频转场,TransitionType,三屏闪切,三屏闪切,True,17242682,7252599996254523959,800.0
动态视觉效果,视频转场,TransitionType,下滑,下滑,True,32998125,7309694074015977993,550.0
动态视觉效果,视频转场,TransitionType,中心切开,中心切开,True,97482739,7450031574931739146,2000.0
动态视觉效果,视频转场,TransitionType,二次元烟效,二次元烟效,True,90037010,7436273714729062921,1920.0
动态视觉效果,视频转场,TransitionType,云朵_II,云朵 II,True,2912470,6955760408737092132,500.0
动态视觉效果,视频转场,TransitionType,亮点模糊,亮点模糊,True,3705757,7123135366504124936,1000.0
动态视觉效果,视频转场,TransitionType,便利贴,便利贴,True,29871972,7302023728441856549,1100.0
动态视觉效果,视频转场,TransitionType,信号故障,信号故障,True,25265947,7288149307197231676,500.0
动态视觉效果,视频转场,TransitionType,信号故障_II,信号故障 II,True,49094731,7342791345162949183,670.0
动态视觉效果,视频转场,TransitionType,倾斜拉伸,倾斜拉伸,True,72481265,7383960886131560960,800.0
动态视觉效果,视频转场,TransitionType,倾斜拉开,倾斜拉开,True,97482745,7450031573958660646,2000.0
动态视觉效果,视频转场,TransitionType,倾斜模糊,倾斜模糊,True,56268173,7355762441533264394,800.0
动态视觉效果,视频转场,TransitionType,像素冲屏,像素冲屏,True,1182216,6981689835534684702,800.0
动态视觉效果,视频转场,TransitionType,全息投影,全息投影,True,28518430,7298230450768581129,400.0
动态视觉效果,视频转场,TransitionType,六边形变焦,六边形变焦,True,7824963,7182413216276812346,1000.0
动态视觉效果,视频转场,TransitionType,冲屏扭曲,冲屏扭曲,True,58099421,7359133728313971227,900.0
动态视觉效果,视频转场,TransitionType,几何分割,几何分割,True,3985085,7130139199394550303,500.0
动态视觉效果,视频转场,TransitionType,几何滑动,几何滑动,True,90546381,7437386424036364837,1000.0
